행정구역,주소1,주소2,주소3,섬이름,면적 (㎢),해안선(㎞),위도,경도
여수시,여수시,돌산읍,금봉리,금죽도,0.111,1.6,34.67801111,127.7014472
신안군,신안군,지도읍,읍내리,송도(솔섬),2.4,6,35.04946944,126.20385
신안군,신안군,하의면,능산리,장재도,0.47,4.7,34.60132778,126.0035083
완도군,완도군,신지면,,신지도,30.832,77.5,34.33217778,126.8305833
목포시,목포시,유달동,,우도,0.049,1.339,34.79150556,126.3326583
고흥군,고흥군,포두면,오취리,취도,1.05,5.5,34.56659444,127.4151861
신안군,신안군,흑산면,태도리,하태도,1.62,11.8,34.39099722,125.29865
진도군,진도군,조도면,맹골도리,죽도,0.292,2.9,34.22350278,125.8459333
신안군,신안군,신의면,고평사도리,평사도,0.28,5,34.57846667,126.1443556
완도군,완도군,금당면,차우리,비견도,0.689,6.4,34.42517222,127.082175
신안군,신안군,신의면,고평사도리,고사도,0.44,4.5,34.56636667,126.1509611
진도군,진도군,조도면,가사도리,양덕도,0.204,2.04,34.49331944,126.1054833
여수시,여수시,남면,횡간리,소횡간도,0.078,2.7,34.56505,127.7674306
여수시,여수시,화정면,조발리,조발도,1.052,7.8,34.63446111,127.5590917
완도군,완도군,금일읍,장원리,장도,0.986,7,34.20583333,127.1601139
진도군,진도군,조도면,외병도리,외병도,0.588,5.59,34.372275,125.9385806
완도군,완도군,금일읍,사동리,다랑도,0.374,2,34.30993056,127.102375
신안군,신안군,하의면,능산리,신도,1.68,14.8,34.59720278,125.9734194
신안군,신안군,하의면,옥도리,옥도,4.76,16,34.68143889,126.0716194
신안군,신안군,흑산면,수리,대둔도,2.16,13.7,34.73154444,125.4647972
여수시,여수시,화정면,낭도리,사도,0.066,6.4,34.5917,127.5550917
여수시,여수시,수정동,,오동도,0.13,14,34.74395,127.7659306
완도군,완도군,금일읍,동백리,황제도,0.217,4.9,34.19063056,127.0742639
완도군,완도군,노화읍,등산리,노록도,0.389,2.3,34.20118889,126.5414528
완도군,완도군,금일읍,장원리,원도,0.376,3,34.21741667,127.1956111
목포시,목포시,유달동,,율도(눌도),2.515,9.9,34.80192222,126.3244444
신안군,신안군,장산면,팽진리,백야도,0.93,4.2,34.61480278,126.1836611
여수시,여수시,율촌면,여동리,소륵도,0.024,1.2,34.86849167,127.6099167
목포시,목포시,유달동,,달리도,3.995,11.8,34.77267778,126.3157444
완도군,완도군,신지면,월양리,모황도,0.13,2.2,34.28681944,126.8973278
완도군,완도군,노화읍,방서리,죽굴도,0.215,3,34.23052778,126.4211694
신안군,신안군,신의면,상태서리,기도,0.21,3,34.63532778,126.0841722
고흥군,고흥군,과역면,백일리,백일도,2.435,5,34.69399722,127.4378528
여수시,여수시,화정면,월호리,월호도,1.529,7.88,34.57507222,127.7164389
신안군,신안군,하의면,후광리,문병도,0.2,2.26,34.67068611,126.036225
진도군,진도군,조도면,관매도리,각흘도,0.022,1.99,34.25802222,126.0511444
