fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"119",전라남도,담양군,창평면,강촌 마을회관,전라남도 창평면 오강2리 470,35.2388968,127.0190521,83,2022/05/27,"1",1000.000000,0
"120",전라남도,담양군,창평면,당곡 마을회관,전라남도 창평면 오강2리 509-1,35.2388968,127.0190521,76.05,2022/05/27,"1",1000.000000,0
"121",전라남도,담양군,창평면,죽항 마을회관,전라남도 창평면 의항1리 239,35.2388968,127.0190521,71.76,2022/05/27,"1",1000.000000,0
"122",전라남도,담양군,창평면,보평 마을회관,전라남도 창평면 의항1리 151-1,35.2388968,127.0190521,73.5,2022/05/27,"1",1000.000000,0
"123",전라남도,담양군,창평면,의암 마을회관,전라남도 창평면 의항2리 535-6,35.2388968,127.0190521,77.35,2022/05/27,"1",1000.000000,0
"124",전라남도,담양군,창평면,하산 마을회관,전라남도 창평면 일산1리 238-1,35.2388968,127.0190521,88.65,2022/05/27,"1",1000.000000,0
"125",전라남도,담양군,창평면,상산 마을회관,전라남도 창평면 일산2리 96-1,35.2388968,127.0190521,90.18,2022/05/27,"1",1000.000000,0
"126",전라남도,담양군,창평면,장전 마을회관,전라남도 창평면 장화1리 437-1,35.2388968,127.0190521,118.1,2022/05/27,"1",1000.000000,0
"127",전라남도,담양군,창평면,화양촌 마을회관,전라남도 창평면 장화2리 587-1,35.2388968,127.0190521,81.74,2022/05/27,"1",1000.000000,0
"128",전라남도,담양군,창평면,절산 마을회관,전라남도 창평면 유곡1리 557-26,35.2388968,127.0190521,96,2022/05/27,"1",1000.000000,0
"129",전라남도,담양군,창평면,연화촌 마을회관,전라남도 창평면 유곡2리 140,35.2388968,127.0190521,82.08,2022/05/27,"1",1000.000000,0
"130",전라남도,담양군,창평면,기동 마을회관,전라남도 창평면 유곡3리 378-4,35.2390659,126.9806147,74,2022/05/27,"1",1000.000000,0
"131",전라남도,담양군,창평면,얼그실 마을회관,전라남도 창평면 해곡1리 212,35.2425931,126.9751707,77,2022/05/27,"1",1000.000000,0
"132",전라남도,담양군,창평면,내동 마을회관,전라남도 창평면 해곡2리 272-4,35.2448427,126.967227,57.6,2022/05/27,"1",1000.000000,0
"133",전라남도,담양군,창평면,부동촌 마을회관,전라남도 창평면 해곡3리 509-1,35.2388968,127.0190521,81.9,2022/05/27,"1",1000.000000,0
"134",전라남도,담양군,창평면,성덕 마을회관,전라남도 창평면 해곡4리 592-2,35.2388968,127.0190521,101,2022/05/27,"1",1000.000000,0
"135",전라남도,담양군,창평면,조현 마을회관,전라남도 창평면 광덕1리 663-2,35.2388968,127.0190521,71.48,2022/05/27,"1",1000.000000,0
"136",전라남도,담양군,창평면,신흥 마을회관,전라남도 창평면 광덕2리 614-1,35.2388968,127.0190521,9.1,2022/05/27,"1",1000.000000,0
"137",전라남도,담양군,창평면,현암 마을회관,전라남도 창평면 광덕3리 77,35.2388968,127.0190521,69.2,2022/05/27,"1",1000.000000,0
"138",전라남도,담양군,창평면,외동 마을회관,전라남도 창평면 외동리 411,35.2062115,127.0354789,72,2022/05/27,"1",1000.000000,0
"139",전라남도,담양군,대덕면,사창 마을회관,전라남도 대덕면 매산1리 160-1,35.2512318,127.0247769,67.74,2022/05/27,"1",1000.000000,2
"140",전라남도,담양군,대덕면,등갈 마을회관,전라남도 대덕면 매산2리 573-4,35.2535291,127.0212608,59.85,2022/05/27,"1",1000.000000,2
"141",전라남도,담양군,대덕면,대조 마을회관,전라남도 대덕면 매산3리 79-1,35.2535291,127.0212608,155.24,2022/05/27,"1",1000.000000,2
"142",전라남도,담양군,대덕면,신갈 마을회관,전라남도 대덕면 매산4리 산 74-3,35.2535291,127.0212608,49.5,2022/05/27,"1",1000.000000,2
"143",전라남도,담양군,대덕면,대산 마을회관,전라남도 대덕면 장산1리 422-5,35.249425,127.0370119,65.61,2022/05/27,"1",1000.000000,2
"144",전라남도,담양군,대덕면,장동 마을회관,전라남도 대덕면 장산2리 245-1,35.2527314,127.0128891,100.8,2022/05/27,"1",1000.000000,0
"145",전라남도,담양군,대덕면,차동 마을회관,전라남도 대덕면 비차1리 536,35.249425,127.0370119,95.47,2022/05/27,"1",1000.000000,2
"146",전라남도,담양군,대덕면,가흥 마을회관,전라남도 대덕면 비차2리 426,35.249425,127.0370119,68.68,2022/05/27,"1",1000.000000,2
"147",전라남도,담양군,대덕면,무월 마을회관,전라남도 대덕면 금산1리 334,35.249425,127.0370119,116.65,2022/05/27,"1",1000.000000,2
"148",전라남도,담양군,대덕면,시목 마을회관,전라남도 대덕면 금산2리 545-1,35.249425,127.0370119,205,2022/05/27,"1",1000.000000,2
"149",전라남도,담양군,대덕면,성곡 마을회관,전라남도 대덕면 성곡리 287-2,35.2655345,127.0578133,72,2022/05/27,"1",1000.000000,0
"150",전라남도,담양군,대덕면,하운 마을회관,전라남도 대덕면 운암1리 733-1,35.1735439,126.8914582,132.14,2022/05/27,"1",1000.000000,0
"151",전라남도,담양군,대덕면,상운 마을회관,전라남도 대덕면 운암2리 992,35.1703873,126.8923463,50.34,2022/05/27,"1",1000.000000,0
"152",전라남도,담양군,대덕면,팔학 마을회관,전라남도 대덕면 운암3리 367-7,35.249425,127.0370119,82.8,2022/05/27,"1",1000.000000,2
"153",전라남도,담양군,대덕면,내문 마을회관,전라남도 대덕면 문학1리 237-9,35.249425,127.0370119,89.7,2022/05/27,"1",1000.000000,2
"154",전라남도,담양군,대덕면,외문 마을회관,전라남도 대덕면 문학2리 426-4,35.249425,127.0370119,84.2,2022/05/27,"1",1000.000000,2
"155",전라남도,담양군,대덕면,용대 마을회관,전라남도 대덕면 용대1리 248,35.2183685,127.0868602,72.6,2022/05/27,"1",1000.000000,0
"156",전라남도,담양군,대덕면,청운 마을회관,전라남도 대덕면 용대2리 962-1,35.2101023,127.1010054,66.4,2022/05/27,"1",1000.000000,0
"157",전라남도,담양군,대덕면,하갈 마을회관,전라남도 대덕면 갈전1리 460,35.249425,127.0370119,48.19,2022/05/27,"1",1000.000000,2
"158",전라남도,담양군,대덕면,상갈 마을회관,전라남도 대덕면 갈전2리 673,35.249425,127.0370119,80.31,2022/05/27,"1",1000.000000,2
"159",전라남도,담양군,대덕면,저심 마을회관,전라남도 대덕면 운산1리 15-2,35.249425,127.0370119,108.65,2022/05/27,"1",1000.000000,2
"160",전라남도,담양군,대덕면,입석 마을회관,전라남도 대덕면 입석리 324,35.2070612,127.0593898,74.1,2022/05/27,"1",1000.000000,0
"161",전라남도,담양군,무정면,술지 마을회관,전라남도 무정면 봉안1리 593,35.2891998,127.0387469,124.42,2022/05/27,"1",1000.000000,0
"162",전라남도,담양군,무정면,수문동 마을회관,전라남도 무정면 봉안2리 38-1,35.2891998,127.0387469,81.74,2022/05/27,"1",1000.000000,0
"163",전라남도,담양군,무정면,외당 마을회관,전라남도 무정면 오룡1리 325-2,35.2948718,127.0301411,136.62,2022/05/27,"1",1000.000000,0
