,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
19326,TSB332000281,척치,1.0,N,Cheok Chi,34.546752,127.308084,2021/09/16 04:01:26,3320281.0,36350,고흥군
19327,TSB332000282,척치,1.0,N,Cheok Chi,34.546831,127.30799,2021/09/16 04:01:26,3320282.0,36350,고흥군
19328,TSB332000283,정암,1.0,N,Jeong Am,34.548012,127.371719,2021/09/16 04:01:26,3320283.0,36350,고흥군
19329,TSB332000284,정암,1.0,N,Jeong Am,34.548107,127.371791,2021/09/16 04:01:26,3320284.0,36350,고흥군
19330,TSB332000285,안평,1.0,N,An Pyeong,34.548668,127.148823,2021/09/16 04:01:26,3320285.0,36350,고흥군
19331,TSB332000286,안평,1.0,N,An Pyeong,34.548721,127.148671,2021/09/16 04:01:26,3320286.0,36350,고흥군
19332,TSB332000287,내봉,1.0,N,Nae Bong,34.55037,127.190115,2021/09/16 04:01:26,3320287.0,36350,고흥군
19333,TSB332000288,봉암,1.0,N,Bong Am,34.550496,127.394061,2021/09/16 04:01:26,3320288.0,36350,고흥군
19334,TSB332000289,내봉,1.0,N,Nae Bong,34.550565,127.190214,2021/09/16 04:01:26,3320289.0,36350,고흥군
19335,TSB332000290,봉암,1.0,N,Bong Am,34.550586,127.394138,2021/09/16 04:01:26,3320290.0,36350,고흥군
19336,TSB332000291,덕촌,1.0,N,Deok Chon,34.551792,127.347194,2021/09/16 04:01:26,3320291.0,36350,고흥군
19337,TSB332000292,백옥입구,1.0,N,Baek Ok Ip Gu,34.552067,127.153239,2021/09/16 04:01:26,3320292.0,36350,고흥군
19338,TSB332000293,백옥입구,1.0,N,Baek Ok Ip Gu,34.552107,127.153401,2021/09/16 04:01:26,3320293.0,36350,고흥군
19339,TSB332000294,덕촌,1.0,N,Deok Chon,34.552206,127.347509,2021/09/16 04:01:26,3320294.0,36350,고흥군
19340,TSB332000295,봉성회관,1.0,N,Bong Seong Hoe Gwan,34.552296,127.174979,2021/09/16 04:01:26,3320295.0,36350,고흥군
19341,TSB332000296,상유,1.0,N,Sang Yu,34.553059,127.142736,2021/09/16 04:01:26,3320296.0,36350,고흥군
19342,TSB332000297,상유,1.0,N,Sang Yu,34.553336,127.142628,2021/09/16 04:01:26,3320297.0,36350,고흥군
19343,TSB332000298,남암종점,1.0,N,Nam Am Jong Jeom,34.55395,127.131198,2021/09/16 04:01:26,3320298.0,36350,고흥군
19344,TSB332000299,외초,1.0,N,Oe Cho,34.554645,127.389818,2021/09/16 04:01:26,3320299.0,36350,고흥군
19345,TSB332000300,포두신기,1.0,N,Po Du Sin Gi,34.554735,127.311684,2021/09/16 04:01:26,3320300.0,36350,고흥군
19346,TSB332000301,외초,1.0,N,Oe Cho,34.554758,127.389795,2021/09/16 04:01:26,3320301.0,36350,고흥군
19347,TSB332000302,포두신기,1.0,N,Po Du Sin Gi,34.554825,127.311842,2021/09/16 04:01:26,3320302.0,36350,고흥군
19348,TSB332000303,도촌마을,1.0,N,Do Chon Ma Eul,34.555374,127.165348,2021/09/16 04:01:26,3320303.0,36350,고흥군
19349,TSB332000304,도촌마을,1.0,N,Do Chon Ma Eul,34.555473,127.165375,2021/09/16 04:01:26,3320304.0,36350,고흥군
19350,TSB332000305,유전,1.0,N,Yu Jeon,34.555722,127.143888,2021/09/16 04:01:26,3320305.0,36350,고흥군
19351,TSB332000306,소곡,1.0,N,So Gok,34.555821,127.230584,2021/09/16 04:01:26,3320306.0,36350,고흥군
19352,TSB332000307,소곡,1.0,N,So Gok,34.55584,127.230716,2021/09/16 04:01:26,3320307.0,36350,고흥군
