시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,금성면,정각 마을회관,전라남도 금성면 대성1리 656-2,74.4,2022-05-27
전라남도,담양군,금성면,원대성 마을회관,전라남도 금성면 대성2리 560-8,95.61,2022-05-27
전라남도,담양군,금성면,봉곡 마을회관,전라남도 금성면 대성2리 583,40.9,2022-05-27
전라남도,담양군,금성면,원율 마을회관,전라남도 금성면 원율1리 256-6,67.79,2022-05-27
전라남도,담양군,금성면,오평 마을회관,전라남도 금성면 원율2리 106-10,114,2022-05-27
전라남도,담양군,금성면,평신기 마을회관,전라남도 금성면 금성1리 285-2,349.84,2022-05-27
전라남도,담양군,금성면,문암 마을회관,전라남도 금성면 금성1리 134,52.2,2022-05-27
전라남도,담양군,금성면,하성 마을회관,전라남도 금성면 금성2리 605-1,81.75,2022-05-27
전라남도,담양군,금성면,덕성 마을회관,전라남도 금성면 덕성1리 815-11 ,98.7,2022-05-27
전라남도,담양군,금성면,장항 마을회관,전라남도 금성면 봉서1리 692,75,2022-05-27
전라남도,담양군,금성면,대판 마을회관,전라남도 금성면 봉서1리 206,70.18,2022-05-27
전라남도,담양군,금성면,와룡 마을회관,전라남도 금성면 봉서2리 1112-1,109.69,2022-05-27
전라남도,담양군,금성면,대실 마을회관,전라남도 금성면 대곡1리  199-1,110.34,2022-05-27
전라남도,담양군,금성면,손오실 마을회관,전라남도 금성면 대곡2리 550,59.4,2022-05-27
전라남도,담양군,금성면,산이천 마을회관,전라남도 금성면 대곡3리 637,64.8,2022-05-27
전라남도,담양군,금성면,외추 마을회관,전라남도 금성면 외추리 144-5,70.78,2022-05-27
전라남도,담양군,금성면,노천동 마을회관,전라남도 금성면 외추리 191,67.5,2022-05-27
전라남도,담양군,금성면,가라실 마을회관 ,전라남도 금성면 봉황1리 284,69.36,2022-05-27
전라남도,담양군,금성면,죽림 마을회관,전라남도 금성면 봉황2리 445-3,41.97,2022-05-27
전라남도,담양군,용면,두장 마을회관,전라남도 용면 두장1리 381-5,115.95,2022-05-27
전라남도,담양군,용면,장찬 마을회관,전라남도 용면 두장2리 817-3,71.6,2022-05-27
전라남도,담양군,용면,서평 마을회관,전라남도 용면 두장2리 929-6,89.73,2022-05-27
전라남도,담양군,용면,박곡 마을회관,전라남도 용면 통천1리 84,79.32,2022-05-27
전라남도,담양군,용면,매월 마을회관,전라남도 용면 통천2리 290-2,159.88,2022-05-27
전라남도,담양군,용면,통천 마을회관,전라남도 용면 통천3리 668-1,86.7,2022-05-27
전라남도,담양군,용면,추성 마을회관,전라남도 용면 추성리 586,66.6,2022-05-27
전라남도,담양군,용면,와산 마을회관,전라남도 용면 추성2리 81-2,60,2022-05-27
전라남도,담양군,용면,신흥 마을회관,전라남도 용면 추성3리 445-19,50,2022-05-27
전라남도,담양군,용면,태월 마을회관,전라남도 용면 쌍태리 222,90.36,2022-05-27
전라남도,담양군,용면,상월 마을회관,전라남도 용면 쌍태리 425-11,74.8,2022-05-27
전라남도,담양군,용면,도림 마을회관,전라남도 용면 도림리 259,77.26,2022-05-27
전라남도,담양군,용면,월계 마을회관 ,전라남도 용면 월계리 243,78.82,2022-05-27
전라남도,담양군,용면,분통 마을회관,전라남도 용면 용연1리 232,92.4,2022-05-27
전라남도,담양군,용면,용평 마을회관,전라남도 용면 용연2리 681,54.2,2022-05-27
전라남도,담양군,용면,용동 마을회관,전라남도 용면 용연3리 72-10,79.09,2022-05-27
전라남도,담양군,용면,용치 마을회관,전라남도 용면 용연1리 30-3,255.79,2022-05-27
전라남도,담양군,월산면,월산 마을회관,전라남도 월산면 월산1리 715-3,79.3,2022-05-27
전라남도,담양군,월산면,장재 마을회관 ,전라남도 월산면 월산2리 146-4,67.59,2022-05-27
전라남도,담양군,월산면,동산 마을회관,전라남도 월산면 월산3리 624-1,100.46,2022-05-27
