연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
189,월호동,경호,대경도 5길 7,내동,경호동내동새마을회,경호동내동마을회,2002-03-21,198,221.23,,철근콘크리트구조,2층,,
190,월호동,경호,500-12,외동,여수시경호동외동새마을회,여수시경호동외동새마을회,2013-10-18,56,30.93,30.93,경량철골구조,1층,,
191,월호동,경호,813-5,소경도,경호동소경새마을회,경호동소경새마을회,1996-05-22,493,164.315,,시멘트벽돌,2층,,
192,여서동,여서,583-1,대치,대치부락새마을회,대치부락새마을회,1991-07-06,337,219.06,164.315,"벽돌,슬래브",2층,,
193,여서동,여서,246-5,기동,기동부락새마을회,기동부락새마을회,1991-01-12,244.1,277.02,219.06,"벽돌,슬래브",2층,,
194,문수동,문수,785-4,허문,허문마을새마을회,허문마을새마을회,1990-11-10,329.2,279.71,277.02,철근콘크리트,2층,,
195,문수동,문수,210-1,소미,소미마을새마을회,소미마을새마을회,1985-06-28,427,172.56,279.71,철근콘크리트,2층,,
196,미평동,미평,836-4,신죽,신죽새마을회,신죽새마을회,1984-08-03,123,35.2,172.56,시멘트벽돌,1층,,
197,미평동,미평,782-2,양지,양지부락새마을회,양지부락노인회,1999-09-17,311,127.25,35.2,철근콘크리트,1층,,
198,둔덕동,둔덕,189-4,용수,,둔덕동 용수부락발전회,2001-08-25,263,276.78,127.25,철근콘크리트,2층,,
199,둔덕동,둔덕,435-10,문치,,문치새마을회,2010-06-26,358,168.6,276.78,철근콘크리트,2층,,
200,둔덕동,둔덕,473-8,석교,,석교부락새마을회관,1988-04-19,60,78.3,168.6,시멘트벽돌,1층,,
201,만덕동,만덕,359-6,오천,오천새마을회,오천동새마을회,2004-06-18,143,169.88,78.3,철근콘크리트,2층,,
202,만덕동,만흥,280-3,평촌,만흥동평촌부락새마을회,만흥동평촌부락새마을회,1994-08-29,265.94,168.49,169.88,철근콘크리트,2층,,
203,만덕동,만덕,"433, 434-3",중촌,중촌새마을회,중촌새마을회,1994-08-20,289.33,140.4,168.49,철근콘크리트,2층,,
204,만덕동,만흥,"1114-1,3",상촌,만흥동상촌새마을회,만흥동상촌새마을회,1987-11-04,540,172.08,140.4,철근콘크리트,2층,,
205,만덕동,덕충,1303-3,충민,덕충동충민노인회,덕충동충민노인회,1979-03-15,115,60.16,172.08,시멘트벽돌,1층,,
206,만덕동,덕충,1789,충민,동석천노인회,동석천노인회,1989-09-13,82.53,82.53,60.16,시멘트벽돌,1층,,
207,만덕동,덕충,1610,석천,석천새마을회,석천마을회,1996-01-25,679.8,358.47,82.53,시멘트벽돌,"1,2층",,"1,2층 경로당"
208,쌍봉동,학동,16-21,원학동(5통),쌍봉동15통새마을회,쌍봉동15통새마을회,1988-02-18,237.4,148.08,84.7,시멘트벽돌,1층,,2층 경로당
209,쌍봉동,학동,23132,17통,여수시,학동제17통마을회,1996-01-06,312.7,118.2,118.2,시멘트벽돌,2층,,
210,쌍봉동,안산동,456-10,월양(32통),안산43통새마을회,안산43통새마을회,1992-11-25,209.6,110.34,110.34,시멘트벽돌,1층,,
211,쌍봉동,안산동,463-11,월안(31통),안산동31통새마을회,안산동31통새마을회,1993-02-22,417,124.7,124.7,시멘트벽돌,1층,,
212,쌍봉동,안산동,477-23,월산(30통),30통월산새마을회,30통월산새마을회,1995-01-11,231.3,109.31,109.31,시멘트벽돌,1층,,
213,쌍봉동,안산동,481-4,안량(29통),여수시,여수시,1995-10-09,216.8,88.13,88.13,시멘트벽돌,1층,,
214,쌍봉동,안산동,601-1,심곡(35통),심곡마을회,심곡마을회,2010-03-02,249,66.15,66.15,일반목구조,1층,,
215,쌍봉동,안산동,723-6,장성(26통),장성새마을회,장성새마을회,2003-12-30,265,323.21,323.21,철근콘크리트,3층,,
216,쌍봉동,소호동,1019,송소(47통),송소리새마을회,송소리새마을회,2003-05-14,225,160.08,160.08,철근콘크리트,2층,,
217,쌍봉동,소호동,1206-4,항호(35통),여수시,소호동항호마을회,1994-01-22,264,310.08,310.08,철근콘크리트,2층,,
218,쌍봉동,소호동,435-9,용암(44통),한구미이주민새마을회,한구미이주민새마을회,1995-12-09,200.8,89.73,89.73,시멘트벽돌,1층,,
219,쌍봉동,소호동,537,소제(46통),소호동소제마을회,소호동소제마을회,1997-05-12,287,232.76,232.76,철근콘크리트,2층,,
220,시전동,신기,134-10,신흥,신흥새마을회,신흥새마을회,1992-12-08,190.3,143.52,143.52,시멘트벽돌,2층,,
221,시전동,신기,17899,구학동,(구)학동친목회,(구)학동친목회,1985-12-31,190.1,138.02,138.02,철근콘크리트구조,"1,2층",,
222,시전동,신기,26846,기전,신기기전새마을회,신기기전새마을회,1988-09-13,231.2,171.6,171.6,시멘트벽돌,2층,,
223,시전동,웅천,웅남2길 16-5(도로명에새주소표기안됨-추진위원장한테전화할것)1676-8번지,웅동,웅동새마을회,웅동새마을회,2012-10-18,298.6,212.15,212.15,철근콘크리트,2층,,
224,시전동,웅천동,웅천동 1721-7,모전,모전마을,모전마을,2013-05-31,296.9,146.98,59.09,철근콘크리트,2층,,1층 경로당
225,시전동,웅천동,1656-10,웅서,웅서새마을회,웅서새마을회,2015-01-27,288.4,198.44,62.5,철근콘크리트,2층,,1층 경로당
226,시전동,웅천동,웅천동 1713-8,송현,송현마을,송현마을,2013-08-08,279.5,202.33,68.35,철근콘크리트,2층,,1층 경로당
227,여천동,선원,1251-1,무선,무선경로당,무선경로당,1996-11-12,296,129.48,,철근콘크리트시멘트벽돌,1층,,
228,여천동,선원,1326-18,도원,도원마을회,도원마을회,1999-03-26,142,87.84,30,시멘트벽돌,2층,,"1층경로,2층마을"
229,여천동,선원,1221-9,신선,신선마을진흥회,신선마을노인회,2006-06-09,452.7,213.15,,철근콘크리트시멘트벽돌,2층,,
230,여천동,선원,223-1,가곡,정죽부외3인,가곡새마을회,1992-01-27,220.6,199.3,134.34,시멘트벽돌,2층,,"1층경로,2층마을"
