Longitude,Latitude,fid,NUMPOINTS
126.5051519,35.1215411,1304,7
126.5053179,35.1653087,1177,14
126.5059376,35.0996953,1298,7
126.5064611,35.0741117,1110,17
126.5070487,35.118392,1303,9
126.5070496,35.0464908,1076,16
126.5092234,35.1787346,1173,4
126.5093486,35.0540562,1074,11
126.5100666,35.1004303,1302,9
126.5100758,35.0266847,1269,4
126.5105743,35.0439022,1272,12
126.511119,35.1040161,1299,13
126.5134015,35.0338859,1270,9
126.5136134,35.054433,1073,15
126.513645,35.0011805,1249,12
126.513762,35.090614,1451,6
126.5138872,35.176579,1174,6
126.5144717,35.0927814,1297,8
126.5147316,35.0420116,1271,12
126.5153597,35.1653268,1176,0
126.516258,35.0915189,1296,6
126.5170349,35.0496148,1273,13
126.5187395,35.1085585,1301,8
126.5192025,35.102307,1300,11
126.5220347,34.9844897,1265,5
126.5226433,35.0821102,1294,4
126.5226569,35.1782997,1175,4
126.5235624,35.0921966,1295,4
126.5257698,35.0381262,1274,12
126.5271374,34.9889431,1263,5
126.5273005,34.9885251,1449,5
126.5310538,35.069187,1293,16
126.5311369,34.9803214,1264,3
126.5314329,35.0690149,1437,15
126.5315818,35.0683551,1292,17
126.5336709,35.0685003,1278,12
126.5345619,35.0522642,1291,9
126.5352628,35.0125634,1219,15
126.5360148,35.0669089,1290,12
126.5361811,35.1468467,1308,4
126.536349,35.0001143,1214,6
126.5364148,35.0101977,1217,13
126.5365009,35.0342614,1227,21
126.536721,35.0055521,1215,13
126.5368754,35.0468164,1233,12
126.5381886,35.172524,1377,6
126.5382492,35.0530027,1234,12
126.538552,35.0437548,1232,16
126.5391831,35.0441473,1285,16
126.5395994,35.0435953,1230,16
126.5399388,35.0120059,1223,17
126.5412755,35.0737711,1289,11
126.5426221,35.0420543,1231,16
126.5433718,35.0829604,1286,6
126.5447136,35.1641372,1380,4
126.5453283,35.0372167,1235,6
126.5454452,35.1609003,1453,4
126.545833,35.022335,1239,10
126.54601,35.0652228,1282,6
126.5468655,35.1217111,1310,2
126.5469313,35.1512098,1378,2
126.5487761,35.0565443,1243,8
126.5490669,35.015673,1218,4
126.5504985,35.0772339,1287,8
126.5508755,35.027918,1236,5
126.5510074,35.0883257,1288,8
126.551297,35.0370051,1237,10
126.5519304,35.0638325,1281,6
126.5523936,35.0519978,1244,12
126.5534675,35.1740297,1376,2
126.5540975,35.0476763,1242,14
126.5571942,35.0452264,1241,10
126.5616151,35.1016009,1350,5
126.5625408,35.0852929,1280,4
126.5626624,35.0034767,1206,4
126.5638922,35.069437,1283,4
126.5645207,35.0173567,1238,3
126.5659111,35.0367407,1240,4
126.5667612,35.0654283,1284,4
126.5687827,35.0063545,1209,8
126.5702095,35.1005876,1326,8
126.5719083,34.9895186,1212,7
126.5731417,35.1011873,1314,11
126.5743352,34.9838424,1213,5
126.5744576,34.9900516,1210,7
126.5749477,35.1859964,1375,4
126.5750095,35.0572375,1196,6
